-11.3944511414,-11.4289665222,-0.0162660200,-0.0113236243,-0.0207266193,-0.0133535564
-11.3940668106,-11.4288959503,-0.0162539817,-0.0113575580,-0.0207289942,-0.0135271885
-11.3936824799,-11.4288253784,-0.0162418988,-0.0113911182,-0.0207313057,-0.0137012713
-11.3932991028,-11.4287548065,-0.0162297692,-0.0114243049,-0.0207335483,-0.0138757899
-11.3929147720,-11.4286832809,-0.0162175931,-0.0114571117,-0.0207357202,-0.0140507407
-11.3925304413,-11.4286127090,-0.0162053742,-0.0114895310,-0.0207378231,-0.0142261162
-11.3921480179,-11.4285430908,-0.0161930993,-0.0115215695,-0.0207398534,-0.0144019052
-11.3917655945,-11.4284725189,-0.0161807947,-0.0115532139,-0.0207418147,-0.0145780994
-11.3913831711,-11.4284029007,-0.0161684416,-0.0115844645,-0.0207437053,-0.0147546930
-11.3910007477,-11.4283332825,-0.0161560401,-0.0116153210,-0.0207455233,-0.0149316769
-11.3906211853,-11.4282655716,-0.0161435977,-0.0116457762,-0.0207472667,-0.0151090436
-11.3902397156,-11.4281959534,-0.0161311161,-0.0116758235,-0.0207489450,-0.0152867818
-11.3898582458,-11.4281263351,-0.0161185823,-0.0117054693,-0.0207505450,-0.0154648880
-11.3894777298,-11.4280567169,-0.0161060132,-0.0117346998,-0.0207520686,-0.0156433489
-11.3891010284,-11.4279899597,-0.0160933957,-0.0117635187,-0.0207535233,-0.0158221610
-11.3887224197,-11.4279212952,-0.0160807427,-0.0117919166,-0.0207548961,-0.0160013083
-11.3883447647,-11.4278545380,-0.0160680450,-0.0118198944,-0.0207562000,-0.0161807928
-11.3879661560,-11.4277858734,-0.0160553064,-0.0118474476,-0.0207574237,-0.0163605958
-11.3875904083,-11.4277191162,-0.0160425287,-0.0118745714,-0.0207585692,-0.0165407136
-11.3872146606,-11.4276523590,-0.0160297044,-0.0119012650,-0.0207596403,-0.0167211387
-11.3868398666,-11.4275856018,-0.0160168447,-0.0119275199,-0.0207606331,-0.0169018619
-11.3864669800,-11.4275197983,-0.0160039403,-0.0119533371,-0.0207615457,-0.0170828719
-11.3860931396,-11.4274530411,-0.0159909967,-0.0119787157,-0.0207623802,-0.0172641613
-11.3857212067,-11.4273872375,-0.0159780160,-0.0120036434,-0.0207631383,-0.0174457226
-11.3853483200,-11.4273214340,-0.0159649979,-0.0120281233,-0.0207638126,-0.0176275447
-11.3849782944,-11.4272565842,-0.0159519371,-0.0120521504,-0.0207644086,-0.0178096201
-11.3846073151,-11.4271907806,-0.0159388389,-0.0120757204,-0.0207649227,-0.0179919396
-11.3842382431,-11.4271259308,-0.0159257036,-0.0120988321,-0.0207653530,-0.0181744974
-11.3838701248,-11.4270620346,-0.0159125328,-0.0121214781,-0.0207657013,-0.0183572788
-11.3835029602,-11.4269981384,-0.0158993211,-0.0121436557,-0.0207659677,-0.0185402781
-11.3831377029,-11.4269351959,-0.0158860721,-0.0121653657,-0.0207661502,-0.0187234841
-11.3827733994,-11.4268732071,-0.0158727895,-0.0121866008,-0.0207662508,-0.0189068913
-11.3824100494,-11.4268102646,-0.0158594660,-0.0122073572,-0.0207662638,-0.0190904867
-11.3820457458,-11.4267473221,-0.0158461127,-0.0122276321,-0.0207661912,-0.0192742627
-11.3816843033,-11.4266843796,-0.0158327222,-0.0122474208,-0.0207660310,-0.0194582120
-11.3813228607,-11.4266233444,-0.0158192925,-0.0122667244,-0.0207657870,-0.0196423233
-11.3809642792,-11.4265613556,-0.0158058330,-0.0122855343,-0.0207654536,-0.0198265854
-11.3806047440,-11.4265003204,-0.0157923363,-0.0123038506,-0.0207650382,-0.0200109910
-11.3802480698,-11.4264402390,-0.0157788061,-0.0123216668,-0.0207645297,-0.0201955307
-11.3798923492,-11.4263792038,-0.0157652423,-0.0123389810,-0.0207639337,-0.0203801971
-11.3795366287,-11.4263191223,-0.0157516487,-0.0123557895,-0.0207632426,-0.0205649752
-11.3791837692,-11.4262609482,-0.0157380179,-0.0123720877,-0.0207624678,-0.0207498632
-11.3788309097,-11.4261999130,-0.0157243554,-0.0123878736,-0.0207615998,-0.0209348407
-11.3784799576,-11.4261417389,-0.0157106631,-0.0124031445,-0.0207606442,-0.0211199056
-11.3781309128,-11.4260835648,-0.0156969391,-0.0124178920,-0.0207595918,-0.0213050507
-11.3777837753,-11.4260263443,-0.0156831816,-0.0124321189,-0.0207584463,-0.0214902572
-11.3774366379,-11.4259691238,-0.0156693943,-0.0124458186,-0.0207572095,-0.0216755252
-11.3770904541,-11.4259109497,-0.0156555790,-0.0124589885,-0.0207558796,-0.0218608379
-11.3767471313,-11.4258546829,-0.0156417340,-0.0124716219,-0.0207544547,-0.0220461860
-11.3764047623,-11.4257984161,-0.0156278517,-0.0124837225,-0.0207529292,-0.0222315639
-11.3760643005,-11.4257440567,-0.0156139489,-0.0124952774,-0.0207513142,-0.0224169586
-11.3757238388,-11.4256868362,-0.0156000154,-0.0125062875,-0.0207495987,-0.0226023588
-11.3753862381,-11.4256324768,-0.0155860530,-0.0125167519,-0.0207477901,-0.0227877572
-11.3750514984,-11.4255790710,-0.0155720655,-0.0125266630,-0.0207458790,-0.0229731388
-11.3747158051,-11.4255237579,-0.0155580435,-0.0125360209,-0.0207438711,-0.0231585018
-11.3743829727,-11.4254703522,-0.0155440010,-0.0125448182,-0.0207417663,-0.0233438276
-11.3740510941,-11.4254179001,-0.0155299334,-0.0125530548,-0.0207395609,-0.0235291123
-11.3737201691,-11.4253635406,-0.0155158369,-0.0125607271,-0.0207372531,-0.0237143394
-11.3733949661,-11.4253149033,-0.0155017134,-0.0125678293,-0.0207348485,-0.0238995031
-11.3730697632,-11.4252634048,-0.0154875657,-0.0125743598,-0.0207323395,-0.0240845960
-11.3727455139,-11.4252119064,-0.0154733984,-0.0125803091,-0.0207297299,-0.0242695995
-11.3724231720,-11.4251623154,-0.0154591994,-0.0125856856,-0.0207270160,-0.0244545043
-11.3721027374,-11.4251117706,-0.0154449828,-0.0125904763,-0.0207241960,-0.0246393047
-11.3717823029,-11.4250621796,-0.0154307382,-0.0125946831,-0.0207212754,-0.0248239934
-11.3714675903,-11.4250135422,-0.0154164722,-0.0125982957,-0.0207182486,-0.0250085425
-11.3711519241,-11.4249649048,-0.0154021848,-0.0126013197,-0.0207151156,-0.0251929630
-11.3708372116,-11.4249162674,-0.0153878750,-0.0126037449,-0.0207118765,-0.0253772326
-11.3705282211,-11.4248704910,-0.0153735448,-0.0126055684,-0.0207085293,-0.0255613402
-11.3702201843,-11.4248237610,-0.0153591968,-0.0126067903,-0.0207050797,-0.0257452764
-11.3699131012,-11.4247779846,-0.0153448218,-0.0126074050,-0.0207015164,-0.0259290356
-11.3696069717,-11.4247312546,-0.0153304320,-0.0126074068,-0.0206978470,-0.0261125937
-11.3693046570,-11.4246873856,-0.0153160226,-0.0126067959,-0.0206940658,-0.0262959544
